"Condition","Line","EvoTime","ColonyMorph","Replicate","Area","Radius","Volume"
"PA",1,"t600","D","rep1",187.117,7.71758971266628,1925.4563123533
"PA",1,"t600","D","rep1",100.353,5.65184500921619,756.239469613163
"PA",1,"t600","D","rep1",463.088,12.1410662041305,7496.5094217845
"PA",1,"t600","D","rep1",231.544,8.58503024377548,2650.41632368633
"PA",1,"t600","D","rep1",404.026,11.3404351801548,6109.10755212962
"PA",1,"t600","D","rep1",183.981,7.65264471734968,1877.25497032362
"PA",1,"t600","D","rep1",498.107,12.5917585140976,8362.72407757548
"PA",1,"t600","D","rep1",96.695,5.54788017575557,715.269698126246
"PA",1,"t600","D","rep1",227.363,8.5071670168397,2578.95335259963
"PA",1,"t600","D","rep1",605.255,13.8801531029802,11201.376088459
"PA",1,"t600","D","rep1",162.029,7.1816037588044,1551.50410058042
"PA",1,"t600","D","rep1",123.351,6.26608671905016,1030.57075050874
"PA",1,"t600","D","rep1",347.578,10.518436842991,4874.63632135081
"PA",1,"t600","D","rep1",244.088,8.81451209647074,2868.6888381378
"PA",1,"t600","D","rep1",411.344,11.4426772139384,6275.8354878537
"PA",1,"t600","D","rep1",196.002,7.89869446882175,2064.213217704
"PA",1,"t600","D","rep1",15112.048,69.3564292541361,1397490.25066281
"PA",1,"t600","D","rep1",202.797,8.03444397506226,2172.48151308093
"PA",1,"t600","D","rep1",391.482,11.1630009792619,5826.81859915122
"PA",1,"t600","D","rep1",297.924,9.73818024742917,3868.31681604678
"PA",1,"t600","D","rep1",138.508,6.63991458646453,1226.24171938937
"PA",1,"t600","D","rep1",169.346,7.34196880854722,1657.77739980298
"PA",1,"t600","D","rep1",221.091,8.38900775099537,2472.97881690042
"PA",1,"t600","D","rep1",16592.258,72.6737900175303,1607763.03174492
"PA",1,"t600","D","rep1",202.797,8.03444397506226,2172.48151308093
"PA",1,"t600","D","rep1",208.547,8.14755005102583,2265.52949398838
"PA",1,"t600","D","rep1",232.067,8.59472049324548,2659.40133427466
"PA",1,"t600","D","rep1",307.854,9.89913994755225,4063.31977255167
"PA",1,"t600","D","rep1",361.167,10.7220812654699,5163.28256587464
"PA",1,"t600","D","rep1",114.465,6.03616940799607,921.24017504836
"PA",1,"t600","D","rep1",187.117,7.71758971266628,1925.4563123533
"PA",1,"t600","D","rep1",322.489,10.1317045399836,4356.4843538597
