"StrainBackgroundRep","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","SignPadj"
"PA_1_t600_rep1",0.04396385,2.024486,1.980522,"AR","D","S",2191,1057,2.91917,0.00354,2441.4783,0.01443138,0.07349631,"T-test","two.sided",0.00354,"**","- **"
"PA_1_t600_rep2",0.29525,2.01802,1.72277,"AR","D","S",711,1854,18.208634,1.23e-64,1055.3877,0.26343302,0.32706699,"T-test","two.sided",1.808824e-64,"****","- ****"
"PA_1_t1000_rep1",0.03714008,2.05522,2.01808,"AR","D","S",1406,1679,3.0257,0.0025,2933.4147,0.01307184,0.06120832,"T-test","two.sided",0.002604167,"**","- **"
"PA_1_t1000_rep2",0.16350402,2.13325,1.969746,"AR","D","S",560,933,6.79887,1.93e-11,888.5689,0.11630513,0.21070291,"T-test","two.sided",2.297619e-11,"****","- ****"
"PA_1_t1000_rep3",0.19771943,2.110828,1.913109,"AR","D","S",1119,1257,13.146435,4.77e-38,2184.8641,0.16822567,0.22721319,"T-test","two.sided",5.9625e-38,"****","- ****"
"PA_2_t600_rep1",0.59041598,2.532785,1.942369,"AR","D","S",978,1140,24.539632,4e-113,1598.9822,0.54322413,0.63760783,"T-test","two.sided",7.692308e-113,"****","- ****"
"PA_2_t600_rep2",0.42304145,2.323431,1.900389,"AR","D","S",1356,984,22.312451,3.88e-100,2337.8322,0.38586151,0.46022139,"T-test","two.sided",6.928571e-100,"****","- ****"
"PA_2_t600_rep3",0.78294222,2.297703,1.51476,"AR","D","S",686,601,31.723694,6.8e-152,965.6569,0.73450952,0.83137493,"T-test","two.sided",2.125e-151,"****","- ****"
"PA_2_t1000_rep1",0.82700244,2.947063,2.12006,"AR","D","S",255,1824,18.33255,5.08e-50,282.9266,0.73820636,0.91579851,"T-test","two.sided",6.684211e-50,"****","- ****"
"PA_2_t1000_rep2",0.79806269,2.593601,1.795539,"AR","D","S",647,1868,30.29788,2.37e-132,750.8613,0.74635282,0.84977257,"T-test","two.sided",5.386364e-132,"****","- ****"
"PA_2_t1000_rep3",0.69153848,2.52295,1.831411,"AR","D","S",1034,1639,36.772454,1.7e-209,1444.8307,0.65464873,0.72842824,"T-test","two.sided",2.125e-208,"****","- ****"
"PA_3_t1000_rep1",0.11228895,2.133998,2.021709,"AR","D","S",1377,1769,6.497783,9.75e-11,2574.8732,0.07840265,0.14617524,"T-test","two.sided",1.107955e-10,"****","- ****"
"PA_3_t1000_rep2",0.68791243,2.779287,2.091374,"AR","D","S",1098,1597,26.906871,2.62e-134,1799.4661,0.63776944,0.73805543,"T-test","two.sided",6.55e-134,"****","- ****"
"PA_3_t1000_rep3",0.9042192,2.726124,1.821905,"AR","D","S",967,1735,35.722723,1.47e-194,1282.2942,0.85456141,0.95387698,"T-test","two.sided",1.225e-193,"****","- ****"
"PA_4_t600_rep1",0.26997284,1.972771,1.702798,"AR","D","S",864,1896,19.321145,5.33e-74,1414.3834,0.24256296,0.29738272,"T-test","two.sided",8.883333e-74,"****","- ****"
"PA_4_t600_rep2",0.37899254,2.160333,1.781341,"AR","D","S",936,2233,27.762699,1.1e-135,1409.4449,0.35221379,0.40577128,"T-test","two.sided",3.055556e-135,"****","- ****"
"PA_4_t600_rep3",0.32337313,2.093633,1.77026,"AR","D","S",1115,2015,25.631414,9.45e-124,1796.8501,0.29862901,0.34811726,"T-test","two.sided",1.96875e-123,"****","- ****"
"PA_4_t1000_rep1",0.27774873,2.130108,1.852359,"AR","D","S",1140,1445,18.25469,1.68e-68,1820.651,0.24790765,0.3075898,"T-test","two.sided",2.625e-68,"****","- ****"
"PA_4_t1000_rep2",0.26082116,2.078627,1.817806,"AR","D","S",757,1456,16.904869,8.62e-58,1226.265,0.23055147,0.29109085,"T-test","two.sided",1.197222e-57,"****","- ****"
"PA_4_t1000_rep3",0.77897161,2.080374,1.301402,"AR","D","S",998,3372,59.167924,0,1079.1255,0.75313885,0.80480437,"T-test","two.sided",0,"****","- ****"
"PA_5_t600_rep1",-0.11927618,2.350307,2.469583,"AR","D","S",749,1039,-6.322831,3.27e-10,1714.9814,-0.15627576,-0.08227659,"T-test","two.sided",3.554348e-10,"****","+ ****"
"PA_5_t600_rep2",1.12771523,3.297547,2.169832,"AR","D","S",499,910,41.339739,1.6e-190,704.3013,1.07415693,1.18127352,"T-test","two.sided",1e-189,"****","- ****"
"PA_5_t600_rep3",0.91182534,3.147587,2.235762,"AR","D","S",615,1116,34.267705,2.46e-159,803.6512,0.85959423,0.96405646,"T-test","two.sided",8.785714e-159,"****","- ****"
"PA_5_t1000_rep1",0.56341061,2.630704,2.067294,"AR","D","S",2241,2463,30.593874,2.39e-183,3679.869,0.52730443,0.59951678,"T-test","two.sided",1.195e-182,"****","- ****"
"PA_5_t1000_rep2",0.74863587,2.95861,2.209974,"AR","D","S",881,1633,32.439174,3.29e-167,1227.0757,0.70335888,0.79391285,"T-test","two.sided",1.370833e-166,"****","- ****"
