"StrainBackgroundRep","estimate","estimate1","estimate2",".y.","group1","group2","n1","n2","statistic","p","df","conf.low","conf.high","method","alternative","p.adj","p.adj.signif","SignPadj"
"PA_1_t600_rep1",5.8833489,132.6,126.71667,"Volume","D","S",2191,1057,2.2479339,0.0247,2007.6675,0.7505876,11.0161102,"T-test","two.sided",0.02940476,"*","- *"
"PA_1_t600_rep2",15.6282043,175.0562,159.42797,"Volume","D","S",711,1854,4.1422223,3.68e-05,1203.8681,8.2260076,23.0304009,"T-test","two.sided",5.75e-05,"****","- ****"
"PA_1_t1000_rep1",9.3117796,149.3925,140.08072,"Volume","D","S",1406,1679,4.0469489,5.32e-05,2934.0767,4.8001623,13.823397,"T-test","two.sided",7.823529e-05,"****","- ****"
"PA_1_t1000_rep2",23.0171878,156.133,133.11585,"Volume","D","S",560,933,6.1576247,1.03e-09,1099.9061,15.6827758,30.3515998,"T-test","two.sided",3.678571e-09,"****","- ****"
"PA_1_t1000_rep3",-6.4871281,147.8111,154.29822,"Volume","D","S",1119,1257,-2.0828368,0.0374,2373.9254,-12.5946751,-0.3795812,"T-test","two.sided",0.0425,"*","+ *"
"PA_2_t600_rep1",-0.4255101,151.8833,152.30884,"Volume","D","S",978,1140,-0.139882,0.889,2103.9877,-6.3909985,5.5399783,"T-test","two.sided",0.889,"ns","ns"
"PA_2_t600_rep2",15.3542016,147.4679,132.11367,"Volume","D","S",1356,984,5.6309666,2.02e-08,2223.959,10.0069724,20.7014308,"T-test","two.sided",5.05e-08,"****","- ****"
"PA_2_t600_rep3",1.5443018,158.3895,156.84518,"Volume","D","S",686,601,0.4146819,0.678,1250.9336,-5.761798,8.8504015,"T-test","two.sided",0.70625,"ns","ns"
"PA_2_t1000_rep1",25.4126806,153.6031,128.19042,"Volume","D","S",255,1824,6.0510286,3.96e-09,325.1169,17.1506064,33.6747548,"T-test","two.sided",1.1e-08,"****","- ****"
"PA_2_t1000_rep2",-7.1458236,135.9188,143.06467,"Volume","D","S",647,1868,-2.5773244,0.0101,1214.4242,-12.5853907,-1.7062564,"T-test","two.sided",0.01328947,"*","+ *"
"PA_2_t1000_rep3",11.540776,145.0756,133.53486,"Volume","D","S",1034,1639,4.7821278,1.85e-06,2125.1316,6.808072,16.27348,"T-test","two.sided",3.557692e-06,"****","- ****"
"PA_3_t1000_rep1",5.7112902,135.4307,129.7194,"Volume","D","S",1377,1769,2.4823011,0.0131,2760.6665,1.1998178,10.2227626,"T-test","two.sided",0.016375,"*","- *"
"PA_3_t1000_rep2",21.7339358,154.2155,132.4816,"Volume","D","S",1098,1597,8.4719147,4.48e-17,2095.9604,16.7029191,26.7649525,"T-test","two.sided",2.24e-16,"****","- ****"
"PA_3_t1000_rep3",17.6282402,164.0899,146.46168,"Volume","D","S",967,1735,6.5791924,6.02e-11,1999.3889,12.373546,22.8829344,"T-test","two.sided",2.508333e-10,"****","- ****"
"PA_4_t600_rep1",95.5220573,194.6791,99.15699,"Volume","D","S",864,1896,37.3776846,4.51e-206,1253.646,90.5083514,100.5357633,"T-test","two.sided",1.1275e-204,"****","- ****"
"PA_4_t600_rep2",13.6788366,186.7878,173.10897,"Volume","D","S",936,2233,4.8077191,1.68e-06,1530.673,8.0979691,19.259704,"T-test","two.sided",3.5e-06,"****","- ****"
"PA_4_t600_rep3",15.6567228,189.7103,174.05361,"Volume","D","S",1115,2015,6.0393576,1.81e-09,2201.7924,10.5728226,20.7406229,"T-test","two.sided",5.65625e-09,"****","- ****"
"PA_4_t1000_rep1",-13.5580414,151.4723,165.03037,"Volume","D","S",1140,1445,-5.5720191,2.8e-08,2368.329,-18.3295362,-8.7865466,"T-test","two.sided",6.363636e-08,"****","+ ****"
"PA_4_t1000_rep2",10.7367376,183.4257,172.68897,"Volume","D","S",757,1456,3.2476071,0.00119,1622.1907,4.2521687,17.2213064,"T-test","two.sided",0.001652778,"**","- **"
"PA_4_t1000_rep3",44.7580347,156.2361,111.47804,"Volume","D","S",998,3372,19.6658876,6.24e-76,1353.1253,40.2933151,49.2227543,"T-test","two.sided",7.8e-75,"****","- ****"
"PA_5_t600_rep1",11.2433025,178.666,167.42266,"Volume","D","S",749,1039,4.6420317,3.77e-06,1395.0072,6.49202,15.994585,"T-test","two.sided",6.732143e-06,"****","- ****"
"PA_5_t600_rep2",35.7734173,189.1181,153.34467,"Volume","D","S",499,910,15.943024,1.94e-50,876.3585,31.3695114,40.1773233,"T-test","two.sided",1.616667e-49,"****","- ****"
"PA_5_t600_rep3",23.9041111,175.8124,151.9083,"Volume","D","S",615,1116,11.3985304,2.27e-28,991.3558,19.7888027,28.0194194,"T-test","two.sided",1.41875e-27,"****","- ****"
"PA_5_t1000_rep1",-8.175399,137.3778,145.55318,"Volume","D","S",2241,2463,-4.269035,2e-05,4700.1218,-11.9297873,-4.4210108,"T-test","two.sided",3.333333e-05,"****","+ ****"
"PA_5_t1000_rep2",1.4077647,191.49,190.08222,"Volume","D","S",881,1633,0.7236525,0.469,2010.1672,-2.4073683,5.2228977,"T-test","two.sided",0.5097826,"ns","ns"
