"Condition","Ploidy","Area","cell_top5_mean_area"
"PM","2N",3092.028,9.805
"PM","2N",4465.374,13.853
"PM","2N",2645.917,9.261
"PM","2N",1454.114,12.756
"PM","2N",1287.239,11.869
"PM","2N",2274.917,10.827
"PM","2N",720.746,7.361
"PM","2N",1129.671,11.321
"PM","2N",2159.158,10.544
"PM","2N",2886.426,10.13
"PM","2N",2284.731,10.996
"PM","2N",173.649,9.121
"PM","2N",1372.966,11.072
"PM","2N",1242.856,10.725
"PM","2N",460.315,9.729
"PM","2N",1218.754,9.531
"PM","2N",3100.744,11.451
"PM","2N",1628.354,11.705
"PM","2N",1269.574,11.743
"PM","2N",2319.575,11.477
"PM","2N",2636.23,11.7
"PM","2N",3200.4,13.169
"PM","2N",3195.736,11.717
"PM","2N",3503.401,11.418
"PM","2N",2232.096,12.017
"PM","2N",2639.438,13.009
"PM","2N",2908.164,13.84
"PM","2N",3543.436,12.414
"PM","2N",836.105,8.822
"PM","2N",866.453,10.181
"PM","2N",3695.58,10.025
"PM","2N",4327.096,11.658
"PM","2N",2496.686,11.565
"PM","2N",3147.47,12.258
"PM","2N",2927.475,10.299
"PM","2N",2993.131,10.413
"PM","2N",2475.074,8.784
"PM","2N",1569.767,10.443
"PM","2N",3526.806,11.147
"PM","2N",2459.963,11.62
"PM","2N",1182.222,10.54
"PM","2N",2772.629,9.286
"PM","2N",3695.77,9.193
"PM","2N",1171.416,12.41
"PM","2N",3764.677,10.586
"PM","2N",3528.051,14.938
"PM","2N",2317.274,8.729
"PM","2N",2645.664,11.958
"PM","2N",3446.734,12.405
"PM","2N",2539.444,10.118
"PM","2N",2006.044,11.667
"PM","2N",2092.256,12.418
"PM","2N",1874.013,9.797
"PM","2N",3399.882,10.683
"PM","2N",2833.284,12.899
"PM","2N",3869.968,13.811
"PM","2N",2810.175,12.127
"PM","2N",3987.859,13.271
"PM","2N",2620.718,11.342
"PM","2N",2793.502,11.979
"PM","2N",4185.905,12.135
"PM","2N",2322.002,10.654
"PM","2N",611.656,10.029
"PM","2N",2466.738,10.261
"PM","2N",2245.497,10.671
"PM","2N",1118.464,9.037
"PM","2N",2911.73,13.693
"PM","2N",3574.861,12.135
"PM","2N",1907.252,12.152
"PM","2N",1046.962,11.705
"PM","2N",2494.681,9.809
"PM","2N",2928.065,9.721
"PM","2N",3099.647,14.887
"PM","2N",3183.285,11.802
"PM","2N",4862.817,12.135
"PM","2N",2158.989,9.32
"PM","2N",1172.872,11.177
"PM","2N",2353.406,10.497
"PM","2N",2995.453,12.161
"PM","2N",1643.338,12.929
"PM","2N",2247.27,10.928
"PM","2N",3612.85,10.54
"PM","2N",2053.888,9.172
"PM","2N",1054.665,9.379
"PM","2N",3076.748,8.412
"PM","2N",2159.39,12.705
"PM","2N",2310.627,11.548
"PM","2N",2466.654,11.586
"PM","2N",3921.717,13.566
"PM","2N",2182.183,9.687
"PM","2N",2500.738,10.329
"PM","2N",2829.274,11.202
"PM","2N",2048.886,10.848
"PM","2N",2308.622,9.56
"PM","2N",2454.856,10.768
"PM","2N",3397.518,11.941
