"Condition","Line","EvoTime","Replicate","Area","Radius","Volume"
"PM",NA,"t0","anc",2651.524,29.0517865656071,102708.679095446
"PM",NA,"t0","anc",1572.725,22.3744031372549,46918.3775653856
"PM",NA,"t0","anc",930.359,17.2087904107193,21347.1373836352
"PM",NA,"t0","anc",2061.948,25.6191028960207,70433.6773043254
"PM",NA,"t0","anc",1662.625,23.0049989027673,50998.2484009513
"PM",NA,"t0","anc",652.297,14.4094616078474,12532.3314378854
"PM",NA,"t0","anc",2477.473,28.082096585786,92763.514766236
"PM",NA,"t0","anc",2603.438,28.7871508396812,99927.4165436771
"PM",NA,"t0","anc",1173.925,19.330595778152,30256.8928651561
"PM",NA,"t0","anc",2436.182,27.8470970685097,90454.1288407414
"PM",NA,"t0","anc",1374.632,20.9179099210365,38339.2378007656
"PM",NA,"t0","anc",1766.637,23.7136674177166,55857.9230211101
"PM",NA,"t0","anc",1923.439,24.7436789740625,63457.2761895891
"PM",NA,"t0","anc",2055.153,25.5768551139556,70085.8006906815
"PM",NA,"t0","anc",1699.735,23.2603193097731,52715.1717893297
"PM",NA,"t0","anc",1532.479,22.0862675902709,45128.9883606276
"PM",NA,"t0","anc",1486.484,21.7522999440065,43112.5944399554
"PM",NA,"t0","anc",1845.038,24.2341460708804,59617.2271977667
"PM",NA,"t0","anc",1281.073,20.1935187825977,34492.4955831718
"PM",NA,"t0","anc",1664.716,23.0194604734415,51094.4855486742
"PM",NA,"t0","anc",1851.31,24.2753017569486,59921.4785275421
"PM",NA,"t0","anc",1547.114,22.1914776716953,45776.9943820895
"PM",NA,"t0","anc",2094.876,25.8228530787974,72127.5668883983
"PM",NA,"t0","anc",1250.236,19.9489969387656,33254.605515646
"PM",NA,"t0","anc",1204.763,19.5828489604665,31456.9224828779
"PM",NA,"t0","anc",1963.685,25.0012069478819,65459.3267539352
"PM",NA,"t0","anc",2037.905,25.4693012979033,69205.3552820048
"PM",NA,"t0","anc",1513.663,21.9502596169297,44300.3944300542
"PM",NA,"t0","anc",1849.742,24.2650193795385,59845.3673028616
"PM",NA,"t0","anc",1831.971,24.1481775813829,58985.0147092582
"PM",NA,"t0","anc",1574.816,22.3892720230117,47011.9784135882
"PM",NA,"t0","anc",2203.592,26.4844316290819,77814.508883189
"PM",NA,"t0","anc",2242.27,26.7158512590059,79872.202403375
"PM",NA,"t0","anc",2204.638,26.4907166920123,77869.9208885928
"PM",NA,"t0","anc",1946.437,24.8911659014583,64598.781711649
"PM",NA,"t0","anc",911.543,17.0338823696077,20702.8216491191
"PM",NA,"t0","anc",1556,22.2551158815671,46171.9470822911
"PM",NA,"t0","anc",1826.745,24.113709649011,58732.7980437102
"PM",NA,"t0","anc",2445.59,27.9008149442309,90978.6053592821
"PM",NA,"t0","anc",1333.863,20.605382299651,36646.3427338125
"PM",NA,"t0","anc",2266.313,26.8587012546557,81160.2984220568
"PM",NA,"t0","anc",1701.826,23.274622238924,52812.4763551721
"PM",NA,"t0","anc",1797.475,23.9197421112396,57326.8512685339
"PM",NA,"t0","anc",2079.719,25.729265791784,71346.1905642977
"PM",NA,"t0","anc",1735.799,23.5057861414575,54401.7601047412
"PM",NA,"t0","anc",1978.32,25.0941988123773,66192.4738593363
"PM",NA,"t0","anc",2360.917,27.4135590823114,86294.8502239111
"PM",NA,"t0","anc",1312.434,20.4391956095081,35766.7936674256
"PM",NA,"t0","anc",1866.468,24.3744787974161,60658.9129227409
"PM",NA,"t0","anc",1910.372,24.6594868942705,62811.7243962419
