"StrainBackgroundRep","StrainBackground","Condition","Line","EvoTime","Replicate","DS_defreq_mode","Mut_num_hm","Mut_num_total","Mut_perc_hm","Mut_num_hm_donut","Mut_num_total_donut","Mut_perc_hm_donut","Mut_perc_hm_diff","Mut_perc_hm_sim","Mut_perc_hm_sim_diff"
"PA_1_t600_rep1","PA_1_t600","PA",1,"t600","rep1","Increase",3,5,60,25,39,64.1025641025641,-4.1025641025641,80,15.8974358974359
"PA_1_t600_rep1","PA_1_t600","PA",1,"t600","rep1","Decrease",1,5,20,25,39,64.1025641025641,-44.1025641025641,60,-4.1025641025641
"PA_1_t600_rep2","PA_1_t600","PA",1,"t600","rep2","Increase",2,3,66.6666666666667,25,38,65.7894736842105,0.877192982456123,100,34.2105263157895
"PA_1_t600_rep2","PA_1_t600","PA",1,"t600","rep2","Decrease",4,4,100,25,38,65.7894736842105,34.2105263157895,50,-15.7894736842105
"PA_1_t1000_rep1","PA_1_t1000","PA",1,"t1000","rep1","Increase",10,11,90.9090909090909,35,54,64.8148148148148,26.0942760942761,63.6363636363636,-1.17845117845119
"PA_1_t1000_rep1","PA_1_t1000","PA",1,"t1000","rep1","Decrease",2,3,66.6666666666667,35,54,64.8148148148148,1.85185185185183,66.6666666666667,1.85185185185183
"PA_1_t1000_rep2","PA_1_t1000","PA",1,"t1000","rep2","Increase",0,1,0,36,56,64.2857142857143,-64.2857142857143,100,35.7142857142857
"PA_1_t1000_rep2","PA_1_t1000","PA",1,"t1000","rep2","Decrease",6,7,85.7142857142857,36,56,64.2857142857143,21.4285714285714,42.8571428571429,-21.4285714285714
"PA_1_t1000_rep3","PA_1_t1000","PA",1,"t1000","rep3","Increase",9,11,81.8181818181818,36,58,62.0689655172414,19.7492163009405,54.5454545454545,-7.52351097178683
"PA_1_t1000_rep3","PA_1_t1000","PA",1,"t1000","rep3","Decrease",6,6,100,36,58,62.0689655172414,37.9310344827586,50,-12.0689655172414
"PA_2_t600_rep1","PA_2_t600","PA",2,"t600","rep1","Increase",3,4,75,27,36,75,0,75,0
"PA_2_t600_rep1","PA_2_t600","PA",2,"t600","rep1","Decrease",1,1,100,27,36,75,25,100,25
"PA_2_t600_rep2","PA_2_t600","PA",2,"t600","rep2","Increase",1,3,33.3333333333333,27,38,71.0526315789474,-37.719298245614,66.6666666666667,-4.38596491228071
