"StrainBackgroundRep","DS_defreq_mode","Variant_impact","Mut_num","Mut_num_total","Mut_perc"
"PA_1_t600_rep1","Gain","High",0,1,0
"PA_1_t600_rep1","Gain","Moderate",1,1,100
"PA_1_t600_rep1","Gain","Low",0,1,0
"PA_1_t600_rep1","Gain","Modifier",0,1,0
"PA_1_t600_rep1","Loss","High",0,0,NA
"PA_1_t600_rep1","Loss","Moderate",0,0,NA
"PA_1_t600_rep1","Loss","Low",0,0,NA
"PA_1_t600_rep1","Loss","Modifier",0,0,NA
"PA_1_t600_rep1","LOH","High",0,0,NA
"PA_1_t600_rep1","LOH","Moderate",0,0,NA
"PA_1_t600_rep1","LOH","Low",0,0,NA
"PA_1_t600_rep1","LOH","Modifier",0,0,NA
"PA_1_t600_rep1","Increase","High",0,5,0
"PA_1_t600_rep1","Increase","Moderate",3,5,60
"PA_1_t600_rep1","Increase","Low",2,5,40
"PA_1_t600_rep1","Increase","Modifier",0,5,0
"PA_1_t600_rep1","Decrease","High",0,5,0
"PA_1_t600_rep1","Decrease","Moderate",1,5,20
"PA_1_t600_rep1","Decrease","Low",2,5,40
"PA_1_t600_rep1","Decrease","Modifier",2,5,40
"PA_1_t600_rep1","Same","High",0,29,0
"PA_1_t600_rep1","Same","Moderate",21,29,72.4137931034483
"PA_1_t600_rep1","Same","Low",3,29,10.3448275862069
"PA_1_t600_rep1","Same","Modifier",5,29,17.2413793103448
"PA_1_t600_rep2","Gain","High",0,1,0
"PA_1_t600_rep2","Gain","Moderate",0,1,0
"PA_1_t600_rep2","Gain","Low",0,1,0
"PA_1_t600_rep2","Gain","Modifier",1,1,100
"PA_1_t600_rep2","Loss","High",0,0,NA
"PA_1_t600_rep2","Loss","Moderate",0,0,NA
"PA_1_t600_rep2","Loss","Low",0,0,NA
"PA_1_t600_rep2","Loss","Modifier",0,0,NA
"PA_1_t600_rep2","LOH","High",0,0,NA
"PA_1_t600_rep2","LOH","Moderate",0,0,NA
"PA_1_t600_rep2","LOH","Low",0,0,NA
"PA_1_t600_rep2","LOH","Modifier",0,0,NA
"PA_1_t600_rep2","Increase","High",0,3,0
"PA_1_t600_rep2","Increase","Moderate",2,3,66.6666666666667
