"DS_defreq_mode","Variant_impact","Mut_num","Mut_num_total","Mut_perc"
"Gain","High",0,13,0
"Gain","Moderate",7,13,53.8461538461538
"Gain","Low",2,13,15.3846153846154
"Gain","Modifier",4,13,30.7692307692308
"Random mutation","High",NA,NA,4.00193710591461
"Random mutation","Moderate",NA,NA,55.2058264200235
"Random mutation","Low",NA,NA,16.379434248532
"Random mutation","Modifier",NA,NA,24.4128022255298
"Loss","High",1,20,5
"Loss","Moderate",12,20,60
"Loss","Low",3,20,15
"Loss","Modifier",4,20,20
"LOH","High",0,4,0
"LOH","Moderate",4,4,100
"LOH","Low",0,4,0
"LOH","Modifier",0,4,0
"Increase","High",3,123,2.4390243902439
"Increase","Moderate",77,123,62.6016260162602
"Increase","Low",18,123,14.6341463414634
"Increase","Modifier",25,123,20.3252032520325
"Decrease","High",1,86,1.16279069767442
"Decrease","Moderate",51,86,59.3023255813954
"Decrease","Low",12,86,13.953488372093
"Decrease","Modifier",22,86,25.5813953488372
"Same","High",25,772,3.23834196891192
"Same","Moderate",471,772,61.0103626943005
"Same","Low",125,772,16.1917098445596
"Same","Modifier",151,772,19.559585492228
"Donut","High",30,1005,2.98507462686567
"Donut","Moderate",615,1005,61.1940298507463
"Donut","Low",158,1005,15.7213930348259
"Donut","Modifier",202,1005,20.0995024875622
