"Time","Condition","Line","EvoTime","Area","Radius","Volume"
"4h","PM",1,"t200",3599.65,33.8497294199153,162462.904675198
"4h","PM",1,"t200",1018.167,18.0025726463217,24439.5005114499
"4h","PM",1,"t200",3237.437,32.101529605257,138568.906267539
"4h","PM",1,"t200",6456.058,45.3324065892817,390224.861626646
"4h","PM",1,"t200",3251.027,32.1688363847751,139442.340860648
"4h","PM",1,"t200",3403.647,32.9152622529398,149375.911495242
"4h","PM",1,"t200",1415.921,21.2297350985649,40079.5036673268
"4h","PM",1,"t200",5662.641,42.4555604392365,320547.462961598
"4h","PM",1,"t200",1473.938,21.6603101783415,42567.9390181924
"4h","PM",1,"t200",1111.203,18.8070970768241,27864.6702574109
"4h","PM",1,"t200",766.239,15.6173444887273,15955.4912315972
"4h","PM",1,"t200",1591.017,22.5041427338718,47739.2982133554
"4h","PM",1,"t200",497.585,12.5851589070922,8349.58172638061
"4h","PM",1,"t200",2115.781,25.9513777919367,73209.9094080022
"4h","PM",1,"t200",3354.516,32.6768359264128,146153.291926036
"4h","PM",1,"t200",700.382,14.9311257012047,13943.3222411482
"4h","PM",1,"t200",5039.614,40.051953245132,269128.512402017
"4h","PM",1,"t200",1102.84,18.7361915788383,27550.6953610747
"4h","PM",1,"t200",1036.983,18.1681573282633,25120.0937209792
"4h","PM",1,"t200",3225.416,32.0418757231124,137797.838169784
"4h","PM",1,"t200",3490.934,33.3346487039405,155158.744718189
"4h","PM",1,"t200",1015.554,17.9794571150937,24345.4794547492
"4h","PM",1,"t200",3483.094,33.2971958985655,154636.351001491
"4h","PM",1,"t200",8021.464,50.5303007399261,540435.984392654
"4h","PM",1,"t200",586.962,13.668789537271,10697.4133925009
"4h","PM",1,"t200",5807.944,42.9968137610432,332964.115336757
"4h","PM",1,"t200",745.855,15.4082127503358,15323.0566945356
"4h","PM",1,"t200",3862.032,35.0617022741075,180545.888209435
"4h","PM",1,"t200",2347.325,27.3345340839453,85550.7136247958
"4h","PM",1,"t200",2218.225,26.5722213463617,78590.8875947108
"4h","PM",1,"t200",1538.75,22.131410650144,45406.2775172121
"4h","PM",1,"t200",455.248,12.0378544211748,7306.945532708
"4h","PM",1,"t200",1403.9,21.1394240511284,39570.1832338388
"4h","PM",1,"t200",4536.803,38.001437427659,229873.380434821
"4h","PM",1,"t200",3806.628,34.8092994101293,176674.738393309
"4h","PM",1,"t200",6533.937,45.605007869773,397306.997740801
"4h","PM",1,"t200",1028.621,18.0947570703852,24816.8628166623
"4h","PM",1,"t200",3304.339,32.4315243397942,142886.334273908
"4h","PM",1,"t200",2079.194,25.7260180652588,71319.1765402368
"4h","PM",1,"t200",4354.912,37.2318619338387,216188.64309069
"4h","PM",1,"t200",3567.767,33.6994882409256,160309.22941715
"4h","PM",1,"t200",4549.869,38.0561201850787,230867.148653819
"4h","PM",1,"t200",4181.908,36.484827798841,203434.924334128
"4h","PM",1,"t200",1032.279,18.1269029621697,24949.3616838475
"4h","PM",1,"t200",5371.512,41.349792905828,296147.878388227
"4h","PM",1,"t200",4472.514,37.7312260905395,225004.582569471
"4h","PM",1,"t200",5796.968,42.9561663127784,332020.695357139
"4h","PM",1,"t200",6286.712,44.7339086285814,374972.266909608
"4h","PM",1,"t200",3914.822,35.3005176343039,184260.324061548
"4h","PM",1,"t200",2738.807,29.5260790564777,107821.642669913
"4h","PM",1,"t200",2251.676,26.7718271935775,80375.3076905676
"4h","PM",1,"t200",5640.166,42.3712236962503,318640.980359981
"4h","PM",1,"t200",8203.877,51.101615964036,558975.162493584
"4h","PM",1,"t200",924.609,17.1555292997479,21149.5423870808
"4h","PM",1,"t200",2942.127,30.6024200106504,120048.2749049
"4h","PM",1,"t200",1141.518,19.0619113589574,29012.6865742057
"4h","PM",1,"t200",787.668,15.8342196344062,16629.4774813246
"4h","PM",1,"t200",305.241,9.8570395133948,4011.69679747752
"4h","PM",1,"t200",1054.754,18.3231718240019,25768.5850320711
"4h","PM",1,"t200",1018.167,18.0025726463217,24439.5005114499
"4h","PM",1,"t200",3926.32,35.352319192963,185072.690524953
"4h","PM",1,"t200",1385.606,21.0012401575616,38799.2591596777
"4h","PM",1,"t200",830.528,16.2593134280772,18005.0867503921
"4h","PM",1,"t200",3394.762,32.8722725992752,148791.389164881
"4h","PM",1,"t200",2589.323,28.7090074614758,99115.8577695611
"4h","PM",1,"t200",4891.175,39.4576907276009,257325.960592764
"4h","PM",1,"t200",6390.724,45.1024459322554,384316.378237289
"4h","PM",1,"t200",1220.442,19.709864385985,32072.9950812803
"4h","PM",1,"t200",5272.726,40.9678021492283,288015.994073456
"4h","PM",1,"t200",2707.969,29.3593818766546,106005.727974857
"4h","PM",1,"t200",1391.879,21.0487255213138,39063.0387065077
"4h","PM",1,"t200",3881.371,35.149377821621,181903.700993177
"4h","PM",1,"t200",5766.652,42.8436966400138,329419.585222038
"4h","PM",1,"t200",4217.449,36.6395375404213,206033.841280416
"4h","PM",1,"t200",1293.093,20.2880330652101,34979.0847205222
"4h","PM",1,"t200",620.413,14.0528855192428,11624.7904848666
"4h","PM",1,"t200",569.191,13.4602794334604,10215.293214681
"4h","PM",1,"t200",5994.538,43.682041029517,349138.206491998
"4h","PM",1,"t200",4841.521,39.2568974635851,253417.457953058
"4h","PM",1,"t200",4781.414,39.0124511680256,248712.906918819
"4h","PM",1,"t200",3499.819,33.3770428221835,155751.478177188
"4h","PM",1,"t200",5841.395,43.1204566024592,335844.826127096
"4h","PM",1,"t200",1518.365,21.9843260150374,44506.9748930964
"4h","PM",1,"t200",4157.342,36.3775075953135,201644.986908421
"4h","PM",1,"t200",1205.284,19.5870828062564,31477.3300174079
"4h","PM",1,"t200",5099.722,40.2900971628138,273957.726511119
"4h","PM",1,"t200",2470.676,28.0435482126821,92382.0286985553
"4h","PM",1,"t200",935.585,17.2570552199749,21527.2560106402
"4h","PM",1,"t200",3565.153,33.6871406571974,160133.080767239
"4h","PM",1,"t200",977.399,17.6384739829201,22986.4357765762
"4h","PM",1,"t200",2045.743,25.518233118523,69604.9956994489
"4h","PM",1,"t200",5836.691,43.1030909320893,335439.230554009
"4h","PM",1,"t200",1617.151,22.6882161209735,48920.361850998
"4h","PM",1,"t200",864.501,16.5885266047281,19121.0637844188
"4h","PM",1,"t200",5025.502,39.995836903813,267998.877802382
"4h","PM",1,"t200",4951.282,39.6993955858758,262083.870366968
"4h","PM",1,"t200",677.907,14.6896051687305,13277.5815614915
"4h","PM",1,"t200",1450.941,21.4906692443347,41575.5908320591
"4h","PM",1,"t200",1576.382,22.4004012241338,47082.1190433367
"4h","PM",1,"t200",922.518,17.1361197352988,21077.8385412912
"4h","PM",1,"t200",1280.026,20.1852651796377,34450.2189957745
"4h","PM",1,"t200",3822.308,34.8809177694537,177767.481383367
"4h","PM",1,"t200",563.442,13.3921304836522,10060.9183786266
"4h","PM",1,"t200",6309.71,44.8156565493883,377031.728381654
"4h","PM",1,"t200",4597.433,38.2545209742274,234496.79616814
"4h","PM",1,"t200",4139.571,36.2996745696118,200353.440210403
"4h","PM",1,"t200",1170.265,19.300438309916,30115.5032516718
"4h","PM",1,"t200",2277.809,26.926736221429,81778.6161410625
"4h","PM",1,"t200",7888.183,50.1087480678465,527022.632880093
"4h","PM",1,"t200",7268.292,48.0995758741234,466135.683372379
"4h","PM",1,"t200",3933.638,35.3852492441163,185590.34808817
"4h","PM",1,"t200",933.494,17.2377599731883,21455.1273445485
"4h","PM",1,"t200",6126.774,44.1612130111233,360754.362246683
"4h","PM",1,"t200",4527.395,37.9620150566203,229158.71620969
"4h","PM",1,"t200",6255.352,44.6221960817657,372170.058005954
"4h","PM",1,"t200",3024.709,31.0289345213317,125137.99667611
"4h","PM",1,"t200",4855.633,39.3140685706816,254526.251621419
"4h","PM",1,"t200",581.213,13.6016853322866,10540.6351160457
"4h","PM",1,"t200",1419.058,21.2532395287918,40212.7727723309
"4h","PM",1,"t200",1667.327,23.037505672298,51214.7402934341
"4h","PM",1,"t200",2621.206,28.8852173875197,100952.140169961
"4h","PM",1,"t200",202.274,8.02407713808511,2164.08290537204
"4h","PM",1,"t200",1179.151,19.3735753180331,30459.1609464455
"4h","PM",1,"t200",1658.964,22.9796571345833,50829.8985581558
"4h","PM",1,"t200",8688.395,52.5889914675098,609218.574028473
"4h","PM",1,"t200",2578.346,28.6480893220199,98486.2486814304
"4h","PM",1,"t200",1704.437,23.2924697590754,52934.0630383322
"4h","PM",1,"t200",6015.445,43.7581491072789,350966.319008847
"4h","PM",1,"t200",6700.669,46.1832132570402,412611.233855784
"4h","PM",1,"t200",8744.321,52.7579740159204,615110.213473156
"4h","PM",1,"t200",3994.268,35.6569066587044,189897.654994466
"4h","PM",1,"t200",1030.711,18.1131306266581,24892.5373084446
"4h","PM",1,"t200",772.511,15.6811316073084,16151.7955454579
"4h","PM",1,"t200",4503.874,37.8632753512706,227375.228545905
"4h","PM",1,"t200",5453.049,41.6624459981004,302916.479316661
"4h","PM",1,"t200",5971.018,43.5962619955125,347085.420143895
"4h","PM",1,"t200",1777.611,23.7872057015753,56379.1980191772
"4h","PM",1,"t200",5549.743,42.0302041712777,311009.108517492
"4h","PM",1,"t200",3164.263,31.7366695698459,133897.559017452
"4h","PM",1,"t200",5055.817,40.1162876377672,270427.478687884
"4h","PM",1,"t200",1904.621,24.6223413536012,62528.3045483163
"4h","PM",1,"t200",4294.282,36.9717786245279,211689.657940394
"4h","PM",1,"t200",6107.435,44.0914610749621,359047.643427148
"4h","PM",1,"t200",6025.898,43.7961517320316,351881.524172994
"4h","PM",1,"t200",895.339,16.8818024862841,20153.2482083562
