"Condition","Line","EvoTime","Area","Major","Minor","AR","Volume"
"PM",1,"t200",21.933,6.018,4.64,1.297,67.840144894311
"PM",1,"t200",45.315,8.559,6.741,1.27,203.643382942471
"PM",1,"t200",22.115,5.68,4.957,1.146,73.0776874873301
"PM",1,"t200",20.966,6.388,4.179,1.528,58.4128332956152
"PM",1,"t200",60.572,11.032,6.991,1.578,282.313391758056
"PM",1,"t200",19.961,6.128,4.147,1.478,55.1804769117089
"PM",1,"t200",36.137,8.912,5.163,1.726,124.38787548414
"PM",1,"t200",42.53,8.66,6.253,1.385,177.293727819526
"PM",1,"t200",22.879,5.88,4.954,1.187,75.5593047025655
"PM",1,"t200",49.255,10.263,6.111,1.68,200.676962429051
"PM",1,"t200",31.502,8.379,4.787,1.751,100.535089224413
"PM",1,"t200",30.962,7.541,5.228,1.442,107.919200905682
"PM",1,"t200",57.712,9.471,7.759,1.221,298.542360709559
"PM",1,"t200",59.144,9.905,7.602,1.303,299.715244203616
"PM",1,"t200",34.351,7.875,5.554,1.418,127.192333657596
"PM",1,"t200",20.821,6.176,4.292,1.439,59.5696894767038
"PM",1,"t200",21.393,5.808,4.69,1.239,66.8914970102624
"PM",1,"t200",48.918,9.198,6.772,1.358,220.864505073547
"PM",1,"t200",34.586,7.646,5.76,1.327,132.82440613732
"PM",1,"t200",49.645,10.218,6.186,1.652,204.731350852145
"PM",1,"t200",49.426,9.24,6.811,1.357,224.435914311347
"PM",1,"t200",55.729,9.997,7.098,1.408,263.718322432282
"PM",1,"t200",50.228,10.057,6.359,1.582,212.933857784836
"PM",1,"t200",17.373,5.168,4.28,1.207,49.5688296788339
"PM",1,"t200",17.774,5.829,3.882,1.501,45.9942709964926
"PM",1,"t200",34.282,7.094,6.153,1.153,140.62535655947
"PM",1,"t200",51.532,9.59,6.842,1.402,235.062509965936
"PM",1,"t200",21.735,6.573,4.21,1.561,60.9995240260582
"PM",1,"t200",35.223,7.527,5.958,1.263,139.901231067286
"PM",1,"t200",43.674,7.976,6.972,1.144,203.00116229092
"PM",1,"t200",63.731,10.793,7.518,1.436,319.407744575347
"PM",1,"t200",16.523,5.695,3.694,1.542,40.6898541290931
"PM",1,"t200",47.924,10.54,5.789,1.821,184.946591708041
"PM",1,"t200",52.211,8.851,7.511,1.178,261.448700173625
"PM",1,"t200",26.905,6.48,5.286,1.226,94.804280325041
"PM",1,"t200",57.07,10.981,6.618,1.659,251.822214933398
"PM",1,"t200",50.704,9.438,6.84,1.38,231.201580580213
"PM",1,"t200",60.492,10.427,7.386,1.412,297.835596684109
"PM",1,"t200",51.933,9.15,7.226,1.266,250.158711231555
"PM",1,"t200",42.723,8.66,6.281,1.379,178.885072424222
"PM",1,"t200",34.373,7.217,6.064,1.19,138.954850996349
"PM",1,"t200",53.777,9.755,7.019,1.39,251.638090434881
"PM",1,"t200",57.257,9.873,7.384,1.337,281.858499349898
"PM",1,"t200",35.779,8.042,5.665,1.42,135.133342617882
"PM",1,"t200",20.089,5.681,4.502,1.262,60.2884881063759
"PM",1,"t200",38.441,8.082,6.056,1.334,155.199101052978
"PM",1,"t200",37.58,8.31,5.758,1.443,144.259016553091
"PM",1,"t200",50.811,9.145,7.074,1.293,239.614140121181
"PM",1,"t200",20.084,5.73,4.463,1.284,59.7595086444056
"PM",1,"t200",47.197,9.336,6.437,1.45,202.54731179406
"PM",1,"t200",36.281,8.266,5.588,1.479,135.147127116963
"PM",1,"t200",56.29,9.735,7.362,1.322,276.265214204579
"PM",1,"t200",21.062,6.278,4.271,1.47,59.9624095725157
"PM",1,"t200",11.803,5.379,2.794,1.926,21.9863415425279
"PM",1,"t200",43.487,9.768,5.669,1.723,164.367968382203
