"Condition","Line","EvoTime","G1Peak"
"PA",1,"t1000",4.11231076542088
"PA",2,"t1000",4.7448181
"PA",3,"t1000",4.05121720517443
"PA",5,"t1000",4.14320484133004
"PM",2,"t1000",3.82282761496048
"PM",3,"t1000",3.71832438216072
"PM",4,"t1000",3.48887733845807
"PM",5,"t1000",3.61574067695647
"PM",1,"t1000",3.97805832267411
"PA",1,"t200",3.96243248550983
"PA",1,"t400",3.98716020080494
"PA",1,"t600",4.02928688609132
"PA",2,"t200",3.94551044184948
"PA",2,"t600",3.950631
"PA",3,"t200",3.9119356048027
"PA",3,"t400",3.83405852258456
"PA",3,"t600",3.89755384173598
"PA",4,"t200",3.93431350665105
"PA",4,"t400",4.28084499728539
"PA",4,"t600",4.43574278650055
"PA",5,"t200",4.09072084675546
"PA",5,"t400",4.29150042205792
"PA",5,"t600",3.68259787103373
"PA",2,"t400",3.7538207719428
"PM",1,"t200",3.94924481246471
"PM",1,"t400",3.88211380335408
"PM",1,"t600",3.63473649639732
"PM",2,"t200",4.05851540939962
"PM",2,"t400",3.6991990261286
"PM",2,"t600",3.6825252480985
"PM",3,"t200",3.76697720089458
"PM",3,"t400",3.87726305269107
"PM",3,"t600",3.97039082421937
"PM",4,"t200",3.88921830498922
"PM",4,"t400",3.90836331629416
"PM",4,"t600",3.65215390769536
"PM",5,"t200",4.03367066344943
"PM",5,"t400",3.84159258140058
"PM",5,"t600",3.84667382674567
"PA",4,"t1000",4.34904235127588
"PA",NA,"t0",1.89791615722611
"PM",NA,"t0",2.03837809210332
