"Condition","Ploidy","Replicate","Area","Major","Minor","AR","Volume"
"PM","2N","Rep1",17.988,5.079,4.51,1.126,54.091611342723
"PM","2N","Rep1",31.363,6.932,5.76,1.203,120.420976110895
"PM","2N","Rep1",28.402,6.583,5.493,1.199,104.001996266573
"PM","2N","Rep1",30.668,6.914,5.648,1.224,115.482818174578
"PM","2N","Rep1",33.688,6.969,6.155,1.132,138.237286830901
"PM","2N","Rep1",28.428,7.255,4.989,1.454,94.5503295650784
"PM","2N","Rep1",38.649,7.452,6.604,1.128,170.171018316171
"PM","2N","Rep1",13.557,4.391,3.931,1.117,35.5277862318849
"PM","2N","Rep1",38.115,9.194,5.278,1.742,134.104049865062
"PM","2N","Rep1",9.13,3.803,3.057,1.244,18.6086910322348
"PM","2N","Rep1",18.854,5.762,4.166,1.383,52.3612984351665
"PM","2N","Rep1",33.25,7.077,5.982,1.183,132.599117997955
"PM","2N","Rep1",7.949,3.341,3.03,1.103,16.0605478242929
"PM","2N","Rep1",13.455,4.644,3.689,1.259,33.0908668288053
"PM","2N","Rep1",14.856,4.817,3.927,1.227,38.8952951286955
"PM","2N","Rep1",17.967,5.691,4.02,1.416,48.1547701322402
"PM","2N","Rep1",19.223,5.343,4.581,1.166,58.7089590415984
"PM","2N","Rep1",23.377,6.253,4.76,1.314,74.1824130873291
"PM","2N","Rep1",20.02,6.062,4.205,1.442,56.1237336122772
"PM","2N","Rep1",10.996,4.538,3.085,1.471,22.6137949864904
"PM","2N","Rep1",26.579,6.796,4.979,1.365,88.2137419899481
"PM","2N","Rep1",27.348,6.924,5.029,1.377,91.6893624131685
"PM","2N","Rep1",37.11,7.769,6.082,1.277,150.472305568536
"PM","2N","Rep1",18.266,5.481,4.243,1.292,51.6659581600437
"PM","2N","Rep1",35.431,7.605,5.932,1.282,140.119998956763
"PM","2N","Rep1",24.938,6.008,5.285,1.137,87.8655293074513
"PM","2N","Rep1",22.414,6.08,4.694,1.295,70.1436517759979
"PM","2N","Rep1",24.654,6.331,4.959,1.277,81.5190579833815
"PM","2N","Rep1",12.578,4.941,3.241,1.525,27.175124238854
"PM","2N","Rep1",35.062,7.321,6.098,1.201,142.542335158477
"PM","2N","Rep1",12.942,4.341,3.796,1.144,32.7522255151712
"PM","2N","Rep1",24.403,6.227,4.99,1.248,81.1855204786577
"PM","2N","Rep1",16.352,5.216,3.992,1.307,43.522844368504
"PM","2N","Rep1",21.596,6.074,4.527,1.342,65.1770048355365
