"Condition","Line","EvoTime","Replicate","Count","G1Peak","G1Peak_anc","G1Peak_diff","G1_mean","G1_mean_anc","G1_sd","G1_sd_anc","t_pval","cohend_d","cohend_mag","Ploidy_change"
"PM",NA,"t0","anc",10681,2.08102529861869,2.08102529861869,0,2.10162374416126,2.10162374416126,0.298554856422638,0.298554856422638,1,0,"negligible",NA
"PM",NA,"t0","A",13682,1.96559256478005,2.08102529861869,-0.11543273383864,2.01063009519713,2.10162374416126,0.255920462007591,0.298554856422638,2.83186546741707e-70,-0.336557701074761,"small","small change"
"PM",NA,"t0","B",11657,2.00288598,2.08102529861869,-0.0781393186186854,2.07965296616534,2.10162374416126,0.277657105095758,0.298554856422638,2.47125246461632e-05,-0.0868020805965547,"negligible","small change"
"PM",NA,"t0","C",26956,1.91297139927874,2.08102529861869,-0.168053899339945,1.96123736927648,2.10162374416126,0.311261990419151,0.298554856422638,4.37854719414279e-179,-0.465451889660472,"small","small change"
"PM",1,"t1000","anc",9584,3.78154641731982,3.78154641731982,0,3.88060204432082,3.88060204432082,0.504610657456762,0.504610657456762,1,0,"negligible",NA
"PM",1,"t1000","A",14132,3.35535672181045,3.78154641731982,-0.426189695509367,3.43618345661247,3.88060204432082,0.484386349157632,0.504610657456762,0,-0.960968446587332,"large","down"
"PM",1,"t1000","B",25167,3.59947296902452,3.78154641731982,-0.182073448295295,3.61393989331026,3.88060204432082,0.320093488870904,0.504610657456762,6.28208382220719e-263,-0.703064676656729,"medium","small change"
"PM",1,"t1000","C",13153,3.89704292606233,3.78154641731982,0.115496508742511,3.91812607323489,3.88060204432082,0.469393718764924,0.504610657456762,3.71293551097785e-06,0.0849329192723388,"negligible","small change"
"PM",2,"t1000","anc",18118,3.74399920754371,3.74399920754371,0,3.76595751412453,3.76595751412453,0.490999568514955,0.490999568514955,1,0,"negligible",NA
"PM",2,"t1000","A",15506,3.717339305057,3.74399920754371,-0.0266599024867098,3.73873587268783,3.76595751412453,0.398501795767555,0.490999568514955,0.000360838415108006,-0.0547877952592865,"negligible","small change"
