"Condition","Line","EvoTime","Replicate","ColonyMorph","Cluster.Weighted_mean_radius","Cell.Mean_volume","Cell.Mean_AR","Cell.Mean_volume.SignPadj","Cell.Mean_AR.SignPadj","Cell.Mean_volume_AR.Signs"
"PA",1,"t600","rep1","D",421.197867259259,132.600023094972,2.02448607941579,"- *","- **","- -"
"PA",1,"t600","rep1","S",76.3596094177116,126.716674195599,1.98052223273415,"- *","- **","- -"
"PA",1,"t600","rep2","D",458.916767925269,175.056178891507,2.01801969057665,"- ****","- ****","- -"
"PA",1,"t600","rep2","S",63.3807790796105,159.427974601527,1.72276968716289,"- ****","- ****","- -"
"PA",1,"t1000","rep1","D",892.434726399234,149.392501228659,2.05522048364154,"- ****","- **","- -"
"PA",1,"t1000","rep1","S",74.9498295054172,140.080721579732,2.01808040500298,"- ****","- **","- -"
"PA",1,"t1000","rep2","D",437.810342357246,156.133040089673,2.13325,"- ****","- ****","- -"
"PA",1,"t1000","rep2","S",57.2827888678974,133.115852302766,1.9697459807074,"- ****","- ****","- -"
"PA",1,"t1000","rep3","D",241.751904816114,147.811094095266,2.11082841823056,"+ *","- ****","+ -"
"PA",1,"t1000","rep3","S",84.1754538416823,154.298222232378,1.91310898965792,"+ *","- ****","+ -"
"PA",2,"t600","rep1","D",443.881349915606,151.883327834622,2.53278527607362,"ns","- ****","ns -"
"PA",2,"t600","rep1","S",102.362343507949,152.308837961789,1.94236929824561,"ns","- ****","ns -"
"PA",2,"t600","rep2","D",338.589789271527,147.467874512389,2.32343067846608,"- ****","- ****","- -"
"PA",2,"t600","rep2","S",93.0362398509007,132.113672904354,1.90038922764228,"- ****","- ****","- -"
"PA",2,"t600","rep3","D",427.663002895215,158.389481437307,2.29770262390671,"ns","- ****","ns -"
"PA",2,"t600","rep3","S",73.231866379198,156.845179660384,1.51476039933444,"ns","- ****","ns -"
"PA",2,"t1000","rep1","D",452.607044142185,153.603097715322,2.94706274509804,"- ****","- ****","- -"
"PA",2,"t1000","rep1","S",116.714785793256,128.190417093663,2.12006030701754,"- ****","- ****","- -"
"PA",2,"t1000","rep2","D",305.755238568214,135.918844839094,2.59360123647604,"+ *","- ****","+ -"
"PA",2,"t1000","rep2","S",80.0539991878412,143.064668409669,1.79553854389722,"+ *","- ****","+ -"
"PA",2,"t1000","rep3","D",263.300185452674,145.075639777635,2.5229497098646,"- ****","- ****","- -"
"PA",2,"t1000","rep3","S",81.1963165649418,133.53486379601,1.83141122635754,"- ****","- ****","- -"
"PA",3,"t1000","rep1","D",819.124990185792,135.430693465131,2.13399782135076,"- *","- ****","- -"
"PA",3,"t1000","rep1","S",98.4150305284312,129.719403255391,2.02170887507066,"- *","- ****","- -"
"PA",3,"t1000","rep2","D",306.77437201613,154.215538958146,2.7792868852459,"- ****","- ****","- -"
"PA",3,"t1000","rep2","S",93.979944024595,132.481603131342,2.09137445209768,"- ****","- ****","- -"
"PA",3,"t1000","rep3","D",330.833844225814,164.089922958605,2.72612409513961,"- ****","- ****","- -"
"PA",3,"t1000","rep3","S",77.5315733701068,146.461682722935,1.82190489913545,"- ****","- ****","- -"
"PA",4,"t600","rep1","D",158.062716655429,194.679051595152,1.97277083333333,"- ****","- ****","- -"
"PA",4,"t600","rep1","S",50.9806035870533,99.1569942624051,1.70279799578059,"- ****","- ****","- -"
"PA",4,"t600","rep2","D",180.098646466189,186.787806971852,2.16033333333333,"- ****","- ****","- -"
"PA",4,"t600","rep2","S",66.5372676734347,173.108970393684,1.7813407971339,"- ****","- ****","- -"
"PA",4,"t600","rep3","D",153.809354110112,189.710330956118,2.0936331838565,"- ****","- ****","- -"
"PA",4,"t600","rep3","S",67.1462247325414,174.053608162058,1.77026004962779,"- ****","- ****","- -"
"PA",4,"t1000","rep1","D",563.174901497584,151.472325284328,2.13010789473684,"+ ****","- ****","+ -"
"PA",4,"t1000","rep1","S",122.804206218938,165.030366711687,1.85235916955017,"+ ****","- ****","+ -"
"PA",4,"t1000","rep2","D",389.239209110873,183.425707009477,2.07862747688243,"- **","- ****","- -"
"PA",4,"t1000","rep2","S",67.073596075311,172.688969444408,1.81780631868132,"- **","- ****","- -"
"PA",4,"t1000","rep3","D",262.680770260831,156.236074504751,2.08037374749499,"- ****","- ****","- -"
"PA",4,"t1000","rep3","S",32.4645549445976,111.478039813604,1.30140213523132,"- ****","- ****","- -"
"PA",5,"t600","rep1","D",498.808617837237,178.66595918418,2.35030707610147,"- ****","+ ****","- +"
"PA",5,"t600","rep1","S",87.9816330389895,167.422656689757,2.46958325312801,"- ****","+ ****","- +"
"PA",5,"t600","rep2","D",474.432830331789,189.118086247907,3.29754709418838,"- ****","- ****","- -"
"PA",5,"t600","rep2","S",83.1207765089922,153.344668921181,2.16983186813187,"- ****","- ****","- -"
"PA",5,"t600","rep3","D",442.746377122593,175.812411713091,3.14758699186992,"- ****","- ****","- -"
"PA",5,"t600","rep3","S",86.8143649440345,151.908300660394,2.23576164874552,"- ****","- ****","- -"
"PA",5,"t1000","rep1","D",495.7489969745,137.377781854658,2.63070414993307,"+ ****","- ****","+ -"
"PA",5,"t1000","rep1","S",96.2997977803736,145.553180903727,2.06729354445798,"+ ****","- ****","+ -"
"PA",5,"t1000","rep2","D",382.89116436927,191.489985825504,2.95860953461975,"ns","- ****","ns -"
"PA",5,"t1000","rep2","S",119.845756791324,190.082221105457,2.20997366809553,"ns","- ****","ns -"
