"Condition","Line","EvoTime","Replicate","ColonyMorph","Chr","CCN","StrainBackground","StrainBackground_CCN","StrainBackground_dCCN","StrainBackground_dCCN_label"
"PA",1,"t600","rep1","D","I",3,"PA_1_t600",3,0,NA
"PA",1,"t600","rep1","D","II",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","III",3,"PA_1_t600",3,0,NA
"PA",1,"t600","rep1","D","IV",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","V",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","VI",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","VII",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","VIII",6,"PA_1_t600",6,0,NA
"PA",1,"t600","rep1","D","IX",5,"PA_1_t600",5,0,NA
"PA",1,"t600","rep1","D","X",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","XI",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","XII",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","XIII",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","XIV",5,"PA_1_t600",5,0,NA
"PA",1,"t600","rep1","D","XV",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","D","XVI",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","I",3,"PA_1_t600",3,0,NA
"PA",1,"t600","rep1","S","II",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","III",3,"PA_1_t600",3,0,NA
"PA",1,"t600","rep1","S","IV",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","V",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","VI",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","VII",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","VIII",6,"PA_1_t600",6,0,NA
"PA",1,"t600","rep1","S","IX",5,"PA_1_t600",5,0,NA
"PA",1,"t600","rep1","S","X",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","XI",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","XII",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","XIII",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","XIV",5,"PA_1_t600",5,0,NA
"PA",1,"t600","rep1","S","XV",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep1","S","XVI",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep2","D","I",3,"PA_1_t600",3,0,NA
"PA",1,"t600","rep2","D","II",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep2","D","III",3,"PA_1_t600",3,0,NA
"PA",1,"t600","rep2","D","IV",4,"PA_1_t600",4,0,NA
"PA",1,"t600","rep2","D","V",4,"PA_1_t600",4,0,NA
