"StrainBackgroundRep","Variant_impact","Mut_num","Mut_num_total","Mut_perc"
"PA_1_t600_rep1","High",0,39,0
"PA_1_t600_rep1","Moderate",25,39,64.1025641025641
"PA_1_t600_rep1","Low",7,39,17.948717948718
"PA_1_t600_rep1","Modifier",7,39,17.948717948718
"PA_1_t600_rep2","High",0,38,0
"PA_1_t600_rep2","Moderate",25,38,65.7894736842105
"PA_1_t600_rep2","Low",7,38,18.4210526315789
"PA_1_t600_rep2","Modifier",6,38,15.7894736842105
"PA_1_t1000_rep1","High",2,54,3.7037037037037
"PA_1_t1000_rep1","Moderate",33,54,61.1111111111111
"PA_1_t1000_rep1","Low",11,54,20.3703703703704
"PA_1_t1000_rep1","Modifier",8,54,14.8148148148148
"PA_1_t1000_rep2","High",2,56,3.57142857142857
"PA_1_t1000_rep2","Moderate",34,56,60.7142857142857
"PA_1_t1000_rep2","Low",12,56,21.4285714285714
"PA_1_t1000_rep2","Modifier",8,56,14.2857142857143
"PA_1_t1000_rep3","High",2,58,3.44827586206897
"PA_1_t1000_rep3","Moderate",34,58,58.6206896551724
"PA_1_t1000_rep3","Low",13,58,22.4137931034483
"PA_1_t1000_rep3","Modifier",9,58,15.5172413793103
"PA_2_t600_rep1","High",2,36,5.55555555555556
"PA_2_t600_rep1","Moderate",25,36,69.4444444444444
"PA_2_t600_rep1","Low",2,36,5.55555555555556
"PA_2_t600_rep1","Modifier",7,36,19.4444444444444
"PA_2_t600_rep2","High",2,38,5.26315789473684
"PA_2_t600_rep2","Moderate",25,38,65.7894736842105
"PA_2_t600_rep2","Low",3,38,7.89473684210526
"PA_2_t600_rep2","Modifier",8,38,21.0526315789474
"PA_2_t600_rep3","High",2,39,5.12820512820513
"PA_2_t600_rep3","Moderate",27,39,69.2307692307692
"PA_2_t600_rep3","Low",2,39,5.12820512820513
"PA_2_t600_rep3","Modifier",8,39,20.5128205128205
"PA_2_t1000_rep1","High",3,47,6.38297872340426
"PA_2_t1000_rep1","Moderate",28,47,59.5744680851064
"PA_2_t1000_rep1","Low",6,47,12.7659574468085
"PA_2_t1000_rep1","Modifier",10,47,21.2765957446809
"PA_2_t1000_rep2","High",3,47,6.38297872340426
"PA_2_t1000_rep2","Moderate",28,47,59.5744680851064
"PA_2_t1000_rep2","Low",6,47,12.7659574468085
"PA_2_t1000_rep2","Modifier",10,47,21.2765957446809
"PA_2_t1000_rep3","High",3,47,6.38297872340426
"PA_2_t1000_rep3","Moderate",28,47,59.5744680851064
"PA_2_t1000_rep3","Low",7,47,14.8936170212766
"PA_2_t1000_rep3","Modifier",9,47,19.1489361702128
"PA_3_t1000_rep1","High",0,39,0
"PA_3_t1000_rep1","Moderate",23,39,58.974358974359
"PA_3_t1000_rep1","Low",6,39,15.3846153846154
"PA_3_t1000_rep1","Modifier",10,39,25.6410256410256
"PA_3_t1000_rep2","High",0,39,0
"PA_3_t1000_rep2","Moderate",23,39,58.974358974359
"PA_3_t1000_rep2","Low",6,39,15.3846153846154
"PA_3_t1000_rep2","Modifier",10,39,25.6410256410256
"PA_3_t1000_rep3","High",0,39,0
"PA_3_t1000_rep3","Moderate",24,39,61.5384615384615
"PA_3_t1000_rep3","Low",6,39,15.3846153846154
"PA_3_t1000_rep3","Modifier",9,39,23.0769230769231
"PA_4_t600_rep2","High",0,44,0
"PA_4_t600_rep2","Moderate",28,44,63.6363636363636
"PA_4_t600_rep2","Low",10,44,22.7272727272727
"PA_4_t600_rep2","Modifier",6,44,13.6363636363636
"PA_4_t600_rep3","High",0,42,0
"PA_4_t600_rep3","Moderate",26,42,61.9047619047619
"PA_4_t600_rep3","Low",10,42,23.8095238095238
"PA_4_t600_rep3","Modifier",6,42,14.2857142857143
"PA_4_t1000_rep1","High",0,44,0
"PA_4_t1000_rep1","Moderate",29,44,65.9090909090909
"PA_4_t1000_rep1","Low",8,44,18.1818181818182
"PA_4_t1000_rep1","Modifier",7,44,15.9090909090909
"PA_4_t1000_rep2","High",0,43,0
"PA_4_t1000_rep2","Moderate",29,43,67.4418604651163
"PA_4_t1000_rep2","Low",7,43,16.2790697674419
"PA_4_t1000_rep2","Modifier",7,43,16.2790697674419
"PA_5_t600_rep1","High",2,33,6.06060606060606
"PA_5_t600_rep1","Moderate",18,33,54.5454545454545
"PA_5_t600_rep1","Low",4,33,12.1212121212121
"PA_5_t600_rep1","Modifier",9,33,27.2727272727273
"PA_5_t600_rep2","High",2,41,4.8780487804878
"PA_5_t600_rep2","Moderate",22,41,53.6585365853659
"PA_5_t600_rep2","Low",6,41,14.6341463414634
"PA_5_t600_rep2","Modifier",11,41,26.8292682926829
"PA_5_t600_rep3","High",2,33,6.06060606060606
"PA_5_t600_rep3","Moderate",18,33,54.5454545454545
"PA_5_t600_rep3","Low",4,33,12.1212121212121
"PA_5_t600_rep3","Modifier",9,33,27.2727272727273
"PA_5_t1000_rep1","High",1,55,1.81818181818182
"PA_5_t1000_rep1","Moderate",32,55,58.1818181818182
"PA_5_t1000_rep1","Low",8,55,14.5454545454545
"PA_5_t1000_rep1","Modifier",14,55,25.4545454545455
"PA_5_t1000_rep2","High",2,54,3.7037037037037
"PA_5_t1000_rep2","Moderate",31,54,57.4074074074074
"PA_5_t1000_rep2","Low",7,54,12.962962962963
"PA_5_t1000_rep2","Modifier",14,54,25.9259259259259
