"Time","Condition","Ploidy","Replicate","Area","Radius","Volume"
"4h","PM","2N","Rep1",2643.158,29.0059187433492,102222.968231778
"4h","PM","2N","Rep1",778.26,15.7393726692457,16332.4322314228
"4h","PM","2N","Rep1",710.313,15.036610328956,14240.933056789
"4h","PM","2N","Rep1",912.587,17.043634122534,20738.398577308
"4h","PM","2N","Rep1",793.94,15.8971365672173,16828.4968082354
"4h","PM","2N","Rep1",994.124,17.7887463665255,23578.9595905011
"4h","PM","2N","Rep1",1106.499,18.7672472875613,27687.9204752524
"4h","PM","2N","Rep1",969.559,17.5675899012491,22710.4198627536
"4h","PM","2N","Rep1",365.349,10.7839787929763,5253.22115738011
"4h","PM","2N","Rep1",2162.299,26.235112894465,75637.5445021184
"4h","PM","2N","Rep1",450.544,11.9755003803929,7193.98645784497
"4h","PM","2N","Rep1",701.95,14.9478300969309,13990.1724487208
"4h","PM","2N","Rep1",2931.151,30.5452834525644,119377.117516357
"4h","PM","2N","Rep1",2373.981,27.4893001350067,87012.1016317379
"4h","PM","2N","Rep1",2563.189,28.5637602366625,97619.0880496678
"4h","PM","2N","Rep1",1332.816,20.5972937364095,36603.2035314485
"4h","PM","2N","Rep1",386.255,11.0882273194555,5710.51099103506
"4h","PM","2N","Rep1",579.644,13.5833138691233,10497.9818458055
"4h","PM","2N","Rep1",2394.888,27.610080164732,88164.0662207395
"4h","PM","2N","Rep1",2160.731,26.2255989194487,75555.2861050924
"4h","PM","2N","Rep1",3000.144,30.9026777994235,123616.644511832
"4h","PM","2N","Rep1",1838.764,24.1929072159352,59313.3957920026
"4h","PM","2N","Rep1",758.921,15.5425884952439,15727.462404532
"4h","PM","2N","Rep1",913.11,17.0485172426602,20756.2287725939
"4h","PM","2N","Rep1",410.298,11.4281192539034,6251.9126315174
"4h","PM","2N","Rep1",2760.237,29.641368479041,109089.60267531
"4h","PM","2N","Rep1",2823.48,29.9790192875319,112860.215170614
"4h","PM","2N","Rep1",2967.738,30.735327312448,121619.19841012
"4h","PM","2N","Rep1",702.995,14.9589524512171,14021.4250379245
"4h","PM","2N","Rep1",2828.184,30.0039818548608,113142.375224277
"4h","PM","2N","Rep1",2976.101,30.7786024793438,122133.639489837
"4h","PM","2N","Rep1",2943.695,30.6105736700538,120144.256879559
"4h","PM","2N","Rep1",481.905,12.3852785879608,7958.03690390832
"4h","PM","2N","Rep1",2296.626,27.0377284672129,82794.0669049884
"4h","PM","2N","Rep1",3101.02,31.4179140500075,129903.439769806
"4h","PM","2N","Rep1",503.334,12.6576533469847,8494.70305300157
"4h","PM","2N","Rep1",2684.449,29.2316037133817,104627.665809045
"4h","PM","2N","Rep1",651.773,14.4036727763327,12517.2333552649
"4h","PM","2N","Rep1",830.528,16.2593134280772,18005.0867503921
"4h","PM","2N","Rep1",409.253,11.4135566696089,6228.04307694329
"4h","PM","2N","Rep1",702.473,14.9533976298762,14005.8107910027
"4h","PM","2N","Rep1",572.85,13.5034743047997,10313.953674006
"4h","PM","2N","Rep1",614.664,13.9876240970822,11463.5853040119
"4h","PM","2N","Rep1",2387.048,27.5648503931229,87731.4946682708
"4h","PM","2N","Rep1",927.222,17.1797534699165,21239.2604958438
"4h","PM","2N","Rep1",744.287,15.3920079995456,15274.7619439437
"4h","PM","2N","Rep1",2052.015,25.5573210860886,69925.3416379602
"4h","PM","2N","Rep1",554.556,13.2861076784188,9823.85430628427
"4h","PM","2N","Rep1",3469.504,33.2321745203982,153732.216569626
"4h","PM","2N","Rep1",647.592,14.3574000366896,12396.9832060798
"4h","PM","2N","Rep1",2940.559,30.5942641782201,119952.318503524
"4h","PM","2N","Rep1",2243.836,26.7251787978133,79955.8910572937
"4h","PM","2N","Rep1",359.076,10.6909981148315,5118.50778544165
"4h","PM","2N","Rep1",1011.372,17.942399678122,24195.2541963488
"4h","PM","2N","Rep1",1010.85,17.9377687700808,24176.5247483149
"4h","PM","2N","Rep1",2039.47,25.479078938911,69285.0894980543
"4h","PM","2N","Rep1",1020.781,18.0256673643052,24533.678343737
"4h","PM","2N","Rep1",571.804,13.4911402838839,10285.7173051813
"4h","PM","2N","Rep1",1320.795,20.5041972806087,36109.1216629887
"4h","PM","2N","Rep1",3999.495,35.6802297952611,190270.534219997
"4h","PM","2N","Rep1",2091.738,25.8035052794443,71965.5633682857
"4h","PM","2N","Rep1",3248.936,32.1584895226505,139307.832421016
"4h","PM","2N","Rep1",708.222,15.0144618356056,14178.096253515
"4h","PM","2N","Rep1",1459.303,21.552507321369,41935.5181221277
"4h","PM","2N","Rep1",1690.848,23.199431769638,52302.2837451052
"4h","PM","2N","Rep1",3322.633,32.5211766709095,144074.579740792
"4h","PM","2N","Rep1",1127.929,18.9481120857303,28496.1668223275
"4h","PM","2N","Rep1",893.771,16.8670135259439,20100.3300614618
"4h","PM","2N","Rep1",521.105,12.8791643067322,8948.5292214129
"4h","PM","2N","Rep1",2280.423,26.9421822720599,81919.4294978635
"4h","PM","2N","Rep1",2752.919,29.60204948248,108656.059279012
"4h","PM","2N","Rep1",2364.05,27.4317423149313,86466.6805594843
"4h","PM","2N","Rep1",1042.21,18.2138888346121,25310.2627764281
"4h","PM","2N","Rep1",3156.423,31.6973286867821,133400.236407358
"4h","PM","2N","Rep1",1780.225,23.8046889736358,56503.6032374544
"4h","PM","2N","Rep1",589.575,13.6991806742888,10768.9259280584
"4h","PM","2N","Rep1",660.136,14.4957861127233,12758.9203484116
"4h","PM","2N","Rep1",2454.473,27.9514404149623,91474.7410795117
"4h","PM","2N","Rep1",3242.664,32.1274338964735,138904.631077966
"4h","PM","2N","Rep1",2516.148,28.3004378676651,94944.1201864664
"4h","PM","2N","Rep1",1005.623,17.8913314952745,23989.2459363633
"4h","PM","2N","Rep1",2721.559,29.4329600198905,106804.716318364
"4h","PM","2N","Rep1",937.153,17.2715102051557,21581.3968043897
"4h","PM","2N","Rep1",845.162,16.4019334234372,18483.054474692
"4h","PM","2N","Rep1",886.454,16.7978293790348,19854.0040591506
"4h","PM","2N","Rep1",2613.366,28.8419873451291,100499.558800254
"4h","PM","2N","Rep1",1165.561,19.2616092071837,29934.1073188457
"4h","PM","2N","Rep1",2787.938,29.7897335917504,110735.907053757
"4h","PM","2N","Rep1",845.685,16.4070075302396,18500.2135509476
"4h","PM","2N","Rep1",693.065,14.8529270269523,13725.3918265796
"4h","PM","2N","Rep1",2388.616,27.5739022827162,87817.9522332432
"4h","PM","2N","Rep1",843.072,16.3816407104032,18414.5367960014
"4h","PM","2N","Rep1",696.723,14.8920723484554,13834.1990971105
"4h","PM","2N","Rep1",3335.7,32.5850623345003,144925.323238924
"4h","PM","2N","Rep1",2525.034,28.3503665787623,95447.519365118
"4h","PM","2N","Rep1",729.129,15.2344664823978,14810.5217491256
"4h","PM","2N","Rep1",388.869,11.1256841196577,5768.57821056958
"4h","PM","2N","Rep1",890.112,16.8324522696732,19977.0236728845
"4h","PM","2N","Rep1",1696.597,23.2388381372598,52569.2574228808
"4h","PM","2N","Rep1",2083.375,25.7518709830598,71534.4056124428
"4h","PM","2N","Rep1",3222.802,32.0288891130007,137630.357188209
"4h","PM","2N","Rep1",278.062,9.40796915237487,3487.99829126355
"4h","PM","2N","Rep1",2264.22,26.846296029342,81047.8938607422
"4h","PM","2N","Rep1",2642.635,29.0030489099905,102192.62954167
"4h","PM","2N","Rep1",630.866,14.1707757253166,11919.8141316368
"4h","PM","2N","Rep1",379.461,10.9902769628971,5560.50864882388
"4h","PM","2N","Rep1",3142.833,31.6290185513977,132539.631014593
"4h","PM","2N","Rep1",1953.752,24.9378943928984,64963.281394552
"4h","PM","2N","Rep1",727.561,15.21807672151,14762.7721567714
"4h","PM","2N","Rep1",445.84,11.9128199707786,7081.61554102923
"4h","PM","2N","Rep1",485.563,12.4321962365891,8048.81933496921
"4h","PM","2N","Rep1",1479.688,21.7025187217411,42817.2753631141
"4h","PM","2N","Rep1",1355.291,20.7702316779548,37532.944081396
"4h","PM","2N","Rep1",955.446,17.4392633879633,22216.3659293013
"4h","PM","2N","Rep1",2509.354,28.2622041980954,94559.8335377432
"4h","PM","2N","Rep1",954.924,17.4344988386294,22198.1618253058
"4h","PM","2N","Rep1",1808.972,23.9961178408022,57877.7403769488
"4h","PM","2N","Rep1",537.308,13.0778609996299,9369.11911731884
"4h","PM","2N","Rep1",1334.384,20.609406084734,36667.8156386289
"4h","PM","2N","Rep1",1148.836,19.1229144327909,29292.1233670796
"4h","PM","2N","Rep1",2607.093,28.8073510774691,100137.924456816
"4h","PM","2N","Rep1",684.702,14.7630422233974,13477.7127152595
"4h","PM","2N","Rep1",1203.716,19.5743378676677,31415.9249076232
"4h","PM","2N","Rep1",843.594,16.3867113883576,18431.6418759335
"4h","PM","2N","Rep1",3154.332,31.686827861209,133267.700134804
"4h","PM","2N","Rep1",1342.225,20.6698690606167,36991.4866665149
"4h","PM","2N","Rep1",3124.54,31.5368351579023,131384.137232363
"4h","PM","2N","Rep1",1133.155,18.9919572208499,28694.4417127896
"4h","PM","2N","Rep1",947.084,17.3627820422445,21925.3507569295
"4h","PM","2N","Rep1",2355.165,27.3801443220091,85979.6768028594
"4h","PM","2N","Rep1",3177.33,31.8021312283995,134727.820821241
"4h","PM","2N","Rep1",1018.167,18.0025726463217,24439.5005114499
"4h","PM","2N","Rep1",2701.697,29.3253621388226,105637.657219161
"4h","PM","2N","Rep1",1253.37,19.9739846311691,33379.7241562245
"4h","PM","2N","Rep1",295.833,9.70394603032237,3827.66328798448
"4h","PM","2N","Rep1",271.267,9.29230691999669,3360.92829502232
"4h","PM","2N","Rep1",462.566,12.1342214753354,7483.83772128
"4h","PM","2N","Rep1",1542.408,22.157701029867,45568.2871067668
"4h","PM","2N","Rep1",798.122,15.9389498707029,16961.6353982735
"4h","PM","2N","Rep1",385.733,11.0807322559176,5698.9387936958
"4h","PM","2N","Rep1",3378.036,32.7911917240705,147693.101502416
"4h","PM","2N","Rep1",1837.719,24.1860316242204,59262.8398005743
"4h","PM","2N","Rep1",831.573,16.2695392369764,18039.0794025469
"4h","PM","2N","Rep1",2953.626,30.6621648924124,120752.756590022
"4h","PM","2N","Rep1",2541.237,28.4411824690191,96367.7136186968
"4h","PM","2N","Rep1",1506.867,21.9009283653481,44002.3816308094
"4h","PM","2N","Rep1",2997.53,30.8892122452564,123455.120508698
"4h","PM","2N","Rep1",760.489,15.5586364130673,15776.2291295162
"4h","PM","2N","Rep1",1316.614,20.4717183569916,35937.8013238295
"4h","PM","2N","Rep1",960.151,17.4821496255253,22380.6712601303
"4h","PM","2N","Rep1",1410.695,21.1905206375408,39857.8153477008
"4h","PM","2N","Rep1",4364.843,37.2742897791509,216928.563763331
"4h","PM","2N","Rep1",1171.833,19.3133639963733,30176.0496959495
"4h","PM","2N","Rep1",1306.683,20.3943648346374,35531.959766958
"4h","PM","2N","Rep1",1336.475,20.6255473900084,36754.0379307486
"4h","PM","2N","Rep1",536.785,13.0714946450345,9355.44300404647
"4h","PM","2N","Rep1",2925.401,30.515308606533,119026.019083814
"4h","PM","2N","Rep1",829.482,16.2490713892057,17971.0829787481
"4h","PM","2N","Rep1",1397.105,21.088203658368,39283.2463628323
"4h","PM","2N","Rep1",292.697,9.65237529089793,3766.96172069327
"4h","PM","2N","Rep1",1365.745,20.8501831048574,37968.0444327246
"4h","PM","2N","Rep1",935.585,17.2570552199749,21527.2560106402
"4h","PM","2N","Rep1",1921.869,24.7335784440941,63379.5968943635
"4h","PM","2N","Rep1",2153.413,26.1811506037587,75171.7734201225
"4h","PM","2N","Rep1",3088.998,31.3569546002471,129148.760061672
"4h","PM","2N","Rep1",1277.413,20.1646519097081,34344.7846532479
"4h","PM","2N","Rep1",829.482,16.2490713892057,17971.0829787481
"4h","PM","2N","Rep1",374.234,10.9143200404837,5446.01286137385
"4h","PM","2N","Rep1",1732.139,23.4809916303487,54229.788482134
"4h","PM","2N","Rep1",1085.069,18.5846224037929,26887.4635294148
"4h","PM","2N","Rep1",508.561,12.7232069081468,8627.36910455207
"4h","PM","2N","Rep1",2655.179,29.0718029246139,102921.120823431
"4h","PM","2N","Rep1",1512.616,21.9426668114835,44254.4385356253
"4h","PM","2N","Rep1",1671.509,23.0663789864205,51407.5467642837
"4h","PM","2N","Rep1",2420.499,27.7573190563855,89582.0840248826
"4h","PM","2N","Rep1",1015.554,17.9794571150937,24345.4794547492
"4h","PM","2N","Rep1",1985.635,25.1405499313868,66559.9411506789
"4h","PM","2N","Rep1",2677.132,29.1917382527828,104200.182149532
"4h","PM","2N","Rep1",1090.819,18.6337991761507,27101.4695780394
"4h","PM","2N","Rep1",3893.392,35.203766338119,182749.416307602
"4h","PM","2N","Rep1",1342.225,20.6698690606167,36991.4866665149
"4h","PM","2N","Rep1",440.613,11.8427815094723,6957.44465231081
"4h","PM","2N","Rep1",1088.728,18.6159309669193,27023.5803863362
"4h","PM","2N","Rep1",1258.597,20.0155906188466,33588.749741478
"4h","PM","2N","Rep1",1675.167,23.0916049054379,51576.3926861702
"4h","PM","2N","Rep1",608.392,13.9160766121464,11288.5729096227
"4h","PM","2N","Rep1",387.301,11.1032309364828,5733.72325990762
"4h","PM","2N","Rep1",566.578,13.4293476645085,10145.0305880825
"4h","PM","2N","Rep1",2317.01,27.1574518205723,83898.7832570456
"4h","PM","2N","Rep1",3180.466,31.8178215858882,134927.332997312
"4h","PM","2N","Rep1",1388.22,21.0210406544981,38909.1054098498
"4h","PM","2N","Rep1",2157.595,26.2065606076172,75390.8588455892
"4h","PM","2N","Rep1",1826.743,24.1136964486376,58732.701588898
"4h","PM","2N","Rep1",490.79,12.4989323160077,8179.13465516458
"4h","PM","2N","Rep1",1402.332,21.1276155614373,39503.908514002
"4h","PM","2N","Rep1",2569.984,28.6015963633879,98007.5267044867
"4h","PM","2N","Rep1",2417.363,27.7393320286359,89408.0465209859
"4h","PM","2N","Rep1",1530.387,22.0711873669532,45036.6109612658
"4h","PM","2N","Rep1",2171.184,26.2889583651401,76104.2210387443
"4h","PM","2N","Rep1",2822.957,29.976242615974,112828.858568616
"4h","PM","2N","Rep1",1853.399,24.2889939014186,60022.9293438605
"4h","PM","2N","Rep1",2987.077,30.8353067098775,122809.913948028
"4h","PM","2N","Rep1",1163.47,19.2443239236471,29853.5914072609
"4h","PM","2N","Rep1",2499.423,28.206223615634,93999.0453974117
"4h","PM","2N","Rep1",2217.179,26.5659555660829,78535.3050614028
"4h","PM","2N","Rep1",817.461,16.1308994749111,17581.8416208804
"4h","PM","2N","Rep1",534.172,13.0396406592577,9287.21457364937
"4h","PM","2N","Rep1",1108.59,18.7849715657088,27766.4421707055
"4h","PM","2N","Rep1",559.783,13.3485753178989,9963.07404957257
"4h","PM","2N","Rep1",422.843,11.6015131428453,6540.82482914686
"4h","PM","2N","Rep1",1465.053,21.5949265727675,42183.6159469504
"4h","PM","2N","Rep1",2168.571,26.2731343427363,75966.8762863493
"4h","PM","2N","Rep1",2268.924,26.8741686420189,81300.5949492321
"4h","PM","2N","Rep1",1722.208,23.4135822219671,53764.0781484394
"4h","PM","2N","Rep1",3118.268,31.5051667535748,130988.737763115
"4h","PM","2N","Rep1",2114.213,25.941759759089,73128.5409673905
"4h","PM","2N","Rep1",554.556,13.2861076784188,9823.85430628427
"4h","PM","2N","Rep1",1422.716,21.2806148414903,40368.361633101
"4h","PM","2N","Rep1",1791.201,23.8779602655313,57026.9684074399
"4h","PM","2N","Rep1",1194.308,19.4976932878838,31048.3347670213
"4h","PM","2N","Rep1",586.962,13.668789537271,10697.4133925009
"4h","PM","2N","Rep1",710.835,15.0421344212002,14256.6341617251
"4h","PM","2N","Rep1",3357.652,32.6921064779371,146358.288933145
"4h","PM","2N","Rep1",3357.129,32.6895602585031,146324.094321424
"4h","PM","2N","Rep1",615.709,13.999509338271,11492.83186021
"4h","PM","2N","Rep1",1111.726,18.8115224404502,27884.3447955092
"4h","PM","2N","Rep1",3454.347,33.1595054307105,152725.917474745
"4h","PM","2N","Rep1",705.086,14.9811830110237,14084.0298726808
"4h","PM","2N","Rep1",244.611,8.82395033810273,2877.91375487153
"4h","PM","2N","Rep1",2967.738,30.735327312448,121619.19841012
"4h","PM","2N","Rep1",3742.34,34.5141104399497,172218.048085122
"4h","PM","2N","Rep1",805.962,16.0170431880688,17212.1708825897
"4h","PM","2N","Rep1",2069.263,25.6645060348788,70808.8170016685
"4h","PM","2N","Rep1",655.955,14.4498083513827,12637.898716175
"4h","PM","2N","Rep1",859.797,16.5433335579975,18965.211417554
"4h","PM","2N","Rep1",2496.809,28.1914701392578,93851.6218225735
"4h","PM","2N","Rep1",293.742,9.66959061115821,3787.15318040378
"4h","PM","2N","Rep1",305.764,9.86548042616783,4022.01167603571
"4h","PM","2N","Rep1",685.224,14.76866864177,13493.1282685176
"4h","PM","2N","Rep1",1505.821,21.8933257209397,43956.5728405749
"4h","PM","2N","Rep1",1993.475,25.1901329960807,66954.5338324826
"4h","PM","2N","Rep1",346.532,10.5025978442974,4852.64831490678
"4h","PM","2N","Rep1",1041.688,18.2093269705121,25291.2498576785
"4h","PM","2N","Rep1",347.055,10.510520327249,4863.63817623123
"4h","PM","2N","Rep1",1783.883,23.8291333181717,56677.8477746934
"4h","PM","2N","Rep1",217.432,8.31930016123436,2411.84276354334
"4h","PM","2N","Rep1",501.244,12.6313467449163,8441.84902374511
"4h","PM","2N","Rep1",2563.189,28.5637602366625,97619.0880496678
"4h","PM","2N","Rep1",1033.325,18.1360845592665,24987.2927696054
