"Condition","Line","EvoTime","Replicate","DNA_content"
"PM",NA,"t0","A",2.06201324080718
"PM",NA,"t0","A",4.08218758794945
"PM",NA,"t0","A",2.65882032875403
"PM",NA,"t0","A",1.76720481422167
"PM",NA,"t0","A",4.18931064509909
"PM",NA,"t0","A",4.98753231453845
"PM",NA,"t0","A",1.97643448565411
"PM",NA,"t0","A",2.14014653865261
"PM",NA,"t0","A",1.96452703442807
"PM",NA,"t0","A",3.99841299207305
"PM",NA,"t0","A",3.78377964358755
"PM",NA,"t0","A",2.58501701317262
"PM",NA,"t0","A",3.58790955157945
"PM",NA,"t0","A",1.90672353135882
"PM",NA,"t0","A",2.03838315467123
"PM",NA,"t0","A",2.14368445099029
"PM",NA,"t0","A",2.26278536558166
"PM",NA,"t0","A",1.9075948082778
"PM",NA,"t0","A",2.2385920297203
"PM",NA,"t0","A",4.01797711925377
"PM",NA,"t0","A",4.07439890034039
"PM",NA,"t0","A",2.01329213956002
"PM",NA,"t0","A",2.1617964499727
"PM",NA,"t0","A",2.13188260908775
"PM",NA,"t0","A",4.06171698074191
"PM",NA,"t0","A",4.41011333823313
"PM",NA,"t0","A",2.8925953671262
"PM",NA,"t0","A",2.71158978740251
"PM",NA,"t0","A",2.0350740625345
"PM",NA,"t0","A",4.45934488454393
"PM",NA,"t0","A",4.11453924405215
"PM",NA,"t0","A",2.95457923925115
"PM",NA,"t0","A",4.04721330031285
"PM",NA,"t0","A",2.07541682411633
"PM",NA,"t0","A",1.90906453803001
"PM",NA,"t0","A",2.19985981032205
"PM",NA,"t0","A",3.33735143154573
"PM",NA,"t0","A",4.09439426559212
"PM",NA,"t0","A",3.76877431887179
"PM",NA,"t0","A",4.0249473346056
"PM",NA,"t0","A",2.11825900635462
"PM",NA,"t0","A",2.2914670976923
"PM",NA,"t0","A",1.20030276638282
"PM",NA,"t0","A",2.31307300512759
"PM",NA,"t0","A",1.68792741537152
"PM",NA,"t0","A",4.0790985152367
"PM",NA,"t0","A",4.12859408485629
"PM",NA,"t0","A",2.14802323403126
"PM",NA,"t0","A",3.47488117309006
"PM",NA,"t0","A",2.07801305331935
"PM",NA,"t0","A",2.00319764838761
"PM",NA,"t0","A",2.19411290296757
"PM",NA,"t0","A",2.19485216823216
"PM",NA,"t0","A",3.58251467530335
"PM",NA,"t0","A",3.08250733313279
"PM",NA,"t0","A",1.93900478124585
"PM",NA,"t0","A",2.88216644642933
"PM",NA,"t0","A",3.50282363993611
"PM",NA,"t0","A",2.0090061611808
